Puesto,Nombre,Trofeos,Donaciones,Rol
#16,['✨♊Rayio♊✨'],['6192'],['400'],['Colíder']
#17,['keito'],['6168'],['1488'],['Miembro']
#18,['SF I Eduardo✌️'],['6157'],['94'],['Veterano']
#19,['Abdullah'],['6110'],['428'],['Colíder']
#20,['Cevasthiam'],['6036'],['0'],['Miembro']
#21,['Albayrak'],['6028'],['79'],['Colíder']
#22,['Gustav0'],['6002'],['0'],['Miembro']
#23,['BoS3ood'],['5941'],['310'],['Veterano']
#24,['the mountain'],['5925'],['24'],['Miembro']
#25,['3oss'],['5916'],['0'],['Miembro']
#26,['Lord Fercho'],['5881'],['20'],['Veterano']
#27,['War Machine'],['5865'],['64'],['Colíder']
#28,['❤General'],['5847'],['8'],['Colíder']
#29,['mehdi king'],['5823'],['0'],['Miembro']
#30,['Revolution'],['5822'],['0'],['Veterano']
#31,['hero'],['5817'],['332'],['Miembro']
#32,['dareadevil'],['5806'],['166'],['Miembro']
#33,['HADI'],['5801'],['123'],['Veterano']
#34,['THE KING AIMAN'],['5735'],['0'],['Veterano']
#35,['Mahmoud'],['5570'],['292'],['Colíder']
#36,['☠ℋℯ⍺ℛᎢ ⍺ᎢᎢ⍺ⅽK☣'],['5568'],['193'],['Veterano']
#37,['ون بيس'],['5528'],['574'],['Colíder']
#38,['Mohammed H'],['5514'],['922'],['Miembro']
#39,['joker'],['5435'],['68'],['Veterano']
#40,['☆HãrDCòÓrè☆'],['5423'],['23'],['Miembro']
#41,['Feng'],['5400'],['1285'],['Veterano']
#42,['COMMANDER'],['5394'],['0'],['Veterano']
#43,['flyrat'],['5382'],['572'],['Miembro']
#44,['El Rey'],['5370'],['218'],['Veterano']
#45,['Foulball'],['5326'],['183'],['Miembro']
#46,['Mo❤️oN'],['5200'],['353'],['Colíder']
#47,['Whisky'],['5139'],['556'],['Colíder']
#48,['Leader'],['5037'],['98'],['Veterano']
#1,['鱼丸子'],['6451'],['400'],['Veterano']
#2,['JohnTan'],['6445'],['208'],['Colíder']
#3,['兵长'],['6418'],['196'],['Veterano']
#4,['旷性怡情'],['6407'],['156'],['Veterano']
#5,['部落丨弱比航空'],['6353'],['1044'],['Veterano']
#6,['Mr.吴'],['6323'],['46'],['Miembro']
#7,['JohnTan6'],['6320'],['414'],['Veterano']
#8,['疯蛙MadFrog'],['6258'],['344'],['Veterano']
#9,['A k u m a⚡'],['6228'],['23'],['Veterano']
#10,['JohnTan8'],['6155'],['597'],['Veterano']
#11,['Daniel'],['6120'],['304'],['Veterano']
#12,['Caroling'],['6113'],['105'],['Veterano']
#13,['追风'],['6113'],['0'],['Veterano']
#14,['༄༺煞༒莫༻༄'],['6107'],['64'],['Veterano']
#15,['雄赳赳'],['6102'],['69'],['Veterano']
#16,['⚽️战神⚽️'],['6101'],['1347'],['Veterano']
#17,['ray'],['6097'],['102'],['Veterano']
#18,['DEV-Paganicc'],['6093'],['72'],['Veterano']
#19,['单车'],['6093'],['10'],['Veterano']
#20,['Night manager'],['6089'],['60'],['Colíder']
#21,['maoshunshou'],['6043'],['188'],['Veterano']
#22,['nullgo'],['6038'],['73'],['Veterano']
#23,['航空nova丨Silv3r'],['6030'],['196'],['Veterano']
#24,['tiuimi'],['6028'],['89'],['Veterano']
#25,['牢骚太盛防肠断、'],['6028'],['82'],['Veterano']
#26,['༺安瑾我爱你༻'],['6022'],['58'],['Veterano']
#27,['Mafuqin Stardog'],['6021'],['257'],['Veterano']
#28,['雄赳赳'],['6021'],['624'],['Veterano']
#29,['Nova l E神'],['6021'],['612'],['Veterano']
#30,['JohnTan4'],['6017'],['308'],['Veterano']
#31,['肋小板'],['6015'],['256'],['Colíder']
#32,['金靴内猴'],['6011'],['238'],['Veterano']
#33,['༄若即若离ཽ'],['6011'],['118'],['Veterano']
#34,['JohnTan9'],['6006'],['333'],['Veterano']
#35,['ares'],['6005'],['294'],['Veterano']
#36,['不夜城'],['6005'],['238'],['Veterano']
#37,['nicici'],['6004'],['243'],['Veterano']
#38,['Huya德古拉的永恒'],['6001'],['1003'],['Veterano']
#39,['⭐️Jackie✨⚡️™'],['6001'],['218'],['Veterano']
#40,['JohnTan3'],['5992'],['92'],['Veterano']
#41,['☘️芍药❄️姬☘️✔️'],['5990'],['248'],['Veterano']
#42,['曹车夫'],['5972'],['56'],['Veterano']
#43,['TitiTnT'],['5923'],['285'],['Líder']
#44,['寻找小贝壳'],['5889'],['110'],['Veterano']
#45,['JohnTan7'],['5818'],['95'],['Veterano']
#46,['十年之约diliraba'],['5807'],['402'],['Veterano']
#47,['Arson'],['5804'],['371'],['Veterano']
#48,['志仔'],['5791'],['75'],['Veterano']
#49,['麦尔斯'],['5559'],['187'],['Veterano']
#50,['JohnTan5'],['5525'],['96'],['Miembro']
#1,['笨笨六の国宝熊猫王'],['6657'],['0'],['Colíder']
#2,['R-V星星V的小号'],['6564'],['0'],['Veterano']
#3,['⭐️Thousand⭐️'],['6536'],['0'],['Veterano']
#4,['★蛋蛋HJY'],['6523'],['63'],['Colíder']
#5,['Jemi Lyndon'],['6456'],['0'],['Veterano']
#6,['無課金やり込み部隊'],['6432'],['100'],['Miembro']
#7,['小心'],['6335'],['28'],['Colíder']
#8,['天之村'],['6331'],['20'],['Miembro']
